label_id,rxnorm_product_id
3794,213729
2017,404408
2019,309076
739,313090
3262,1149663
2772,835809
3525,349373
2778,577057
2266,359385
2508,1010739
1266,402243
3815,1923431
3529,854878
258,199245
517,979485
2274,1659595
2032,197854
2515,312744
3027,197730
2033,1986819
1782,1808224
17,541963
19,905093
3030,1547582
1538,1807631
3826,997229
3279,212405
266,859426
3280,404408
3035,2105817
2525,310346
3285,1808224
274,905093
2048,863671
2529,477367
2050,863636
1546,200224
775,616238
1036,834127
1804,1799886
1297,312744
3843,212405
779,200224
2060,979468
3047,546624
545,1242231
288,310247
3847,352317
3565,834127
1555,1307630
3850,312744
3297,1658647
293,2611794
1559,282755
787,861570
3302,607026
3572,313165
299,403884
553,1860480
3306,1986819
2555,1425110
1820,979468
801,312744
1051,967388
3311,141927
1314,212405
1569,1808224
308,834127
2310,197854
2312,208104
311,706461
3071,859426
3314,199224
1323,1923422
75,855642
1833,1599852
1834,314034
570,904447
1581,1313887
2578,198240
2089,834127
3085,213169
3083,997229
879,1718909
2385,1723194
2389,858607
3927,309952
3928,859426
3683,2370174
2153,1726997
3932,213169
1392,197863
2158,1045456
639,203088
2661,242461
1395,855172
1149,403884
1904,200224
3161,207850
1907,349253
2399,261317
146,834127
3434,830253
3167,314285
1922,1114202
425,1665497
2407,311753
3439,105467
2408,978727
2413,904447
3712,861448
1176,995906
2936,1998774
1422,2055766
154,979485
1424,1605257
439,207772
1425,404588
1939,1741263
1426,1807894
1691,1734207
164,212542
167,1720760
922,483017
668,1736776
2940,402092
1698,1242404
2689,1244611
3973,200224
1955,402092
1435,1000124
177,351761
927,310346
3203,886662
2203,200346
683,1665497
3992,105467
2955,1114202
2705,577348
1714,1659134
1715,314266
1718,2584326
2964,404465
3473,706461
199,1812168
2714,314285
3224,314108
1209,351261
208,2398842
2724,859824
2726,1658647
1988,1998774
212,900577
483,834127
1736,102787
2469,749841
2734,2168548
1739,213468
719,1000124
2991,2057205
2993,967388
2473,351761
3775,831269
1745,314055
975,834127
1747,312736
1999,1986830
3783,578457
1229,311372
2002,1149663
1231,310273
2003,855642
232,200820
1234,1791371
1235,1668240
2750,200132
2490,1093280
1242,852813
734,1658647
4061,309090
735,310295
3790,701858
2761,1923431
2254,404443
2852,213169
578,282755
343,349251
1592,309068
1080,854878
1083,402010
2100,686924
2101,1114202
1598,351264
2858,199192
94,1358512
1603,207107
3882,727625
3625,856724
1608,855172
589,105602
2869,311725
1357,1242404
1358,141859
846,847745
2870,905093
2119,1807631
3634,1149663
3119,748746
2872,141859
370,153665
371,809014
2619,997229
3898,309952
3123,833217
1866,1807631
599,402092
377,349253
113,859426
3126,903873
3907,310247
2886,997229
3385,199123
2364,199245
2895,483017
2134,750239
1879,861210
3659,833217
391,1663224
3143,834127
1136,1667909
3916,477347
1646,1665497
1885,1149663
3671,311372
134,892582
1651,834235
1762,1665497
250,1435117
1514,197942
1256,858607
2771,208104
253,311372
2776,1723194
2505,996634
1776,312593
3024,309844
518,705875
2782,477347
2786,607026
1273,855642
1017,309844
1785,672567
3273,199147
1018,809481
261,1014673
260,313306
2280,207331
3278,1659134
2044,1734399
2283,979468
