label_id,source,source_product_name,source_product_id,source_label_url
40,JP,"シクロスポリンカプセル10mg「BMD」 (後発品)
シクロスポリンカプセル25mg「BMD」 (後発品)
シクロスポリンカプセル50mg「BMD」 (後発品)",00068266,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068266
41,JP,"ゲンボイヤ配合錠",00066363,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066363
42,JP,"ビベスピエアロスフィア28吸入
ビベスピエアロスフィア120吸入",00070364,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00070364
43,JP,"シルガード9水性懸濁筋注シリンジ",00068902,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068902
44,JP,"アリピプラゾール内用液分包3mg「ニプロ」 (後発品)
アリピプラゾール内用液分包6mg「ニプロ」 (後発品)
アリピプラゾール内用液分包12mg「ニプロ」 (後発品)",00066722,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066722
45,JP,"カンデサルタンOD錠2mg「EE」 (後発品)
カンデサルタンOD錠4mg「EE」 (後発品)
カンデサルタンOD錠8mg「EE」 (後発品)
カンデサルタンOD錠12mg「EE」 (後発品)",00063806,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00063806
46,JP,"ジゴキシン錠0.125mg「AFP」
ジゴキシン錠0.25mg「AFP」",00050537,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00050537
47,JP,"ファムシクロビル錠250mg「YD」 (後発品)",00067127,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067127
48,JP,"アモキシシリンカプセル125mg「トーワ」
アモキシシリンカプセル250mg「トーワ」",00060009,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00060009
49,JP,"ダイアモックス注射用500mg",00052367,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00052367
50,JP,"ロサルヒド配合錠LD「TCK」 (後発品)
ロサルヒド配合錠HD「TCK」 (後発品)",00066224,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066224
51,JP,"ロサルタンカリウム錠25mg「NIG」 (後発品)
ロサルタンカリウム錠50mg「NIG」 (後発品)
ロサルタンカリウム錠100mg「NIG」 (後発品)",00070836,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00070836
52,JP,"ケーワン錠5mg",00068050,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068050
53,JP,"メトリジン錠2mg",00004071,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00004071
54,JP,"ミルタザピンOD錠15mg「DSEP」 (後発品)
ミルタザピンOD錠30mg「DSEP」 (後発品)",00067647,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067647
55,JP,"ミリステープ5mg",00052530,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00052530
56,JP,"ボセンタン錠62.5mg「サワイ」 (後発品)",00066493,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066493
57,JP,"テルミサルタン錠20mg「日医工」 (後発品)
テルミサルタン錠40mg「日医工」 (後発品)
テルミサルタン錠80mg「日医工」 (後発品)",00066703,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066703
58,JP,"ケトプロフェンテープ20mg「パテル」 (後発品)",00068890,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068890
59,JP,"オルメサルタン錠5mg「オーハラ」 (後発品)
オルメサルタン錠10mg「オーハラ」 (後発品)
オルメサルタン錠20mg「オーハラ」 (後発品)
オルメサルタン錠40mg「オーハラ」 (後発品)",00067021,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067021
60,JP,"ジスロマックカプセル小児用100mg",00046009,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00046009
61,JP,"クロルヘキシジングルコン酸塩消毒用液EW0.5％「NP」",00062571,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00062571
62,JP,"リセドロン酸Na錠2.5mg「トーワ」 (後発品)",00060004,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00060004
63,JP,"シルデナフィル錠25mgVI「DK」
シルデナフィル錠50mgVI「DK」",00065992,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00065992
64,JP,"コムクロシャンプー0.05％",00066860,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066860
65,JP,"ベネクレクスタ錠10mg
ベネクレクスタ錠50mg
ベネクレクスタ錠100mg",00068275,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068275
66,JP,"ギブラーリ皮下注189mg",00069663,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00069663
67,JP,"アルメタ軟膏",00011986,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00011986
68,JP,"アトルバスタチン錠5mg「TCK」 (後発品)
アトルバスタチン錠10mg「TCK」 (後発品)",00062094,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00062094
69,JP,"イリノテカン塩酸塩点滴静注液40mg「SUN」 (後発品)
イリノテカン塩酸塩点滴静注液100mg「SUN」 (後発品)",00069190,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00069190
70,JP,"バルプロ酸ナトリウム錠100mg「アメル」 (後発品)
バルプロ酸ナトリウム錠200mg「アメル」",00059451,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00059451
71,JP,"ピオグリタゾンOD錠15mg「杏林」 (後発品)
ピオグリタゾンOD錠30mg「杏林」 (後発品)",00060447,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00060447
72,JP,"ヴォトリエント錠200mg",00060782,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00060782
73,JP,"イマチニブ錠100mg「ニプロ」 (後発品)
イマチニブ錠200mg「ニプロ」 (後発品)",00062784,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00062784
74,JP,"ヒドロキシクロロキン硫酸塩錠200mg「DSEP」 (後発品)",00071564,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00071564
75,JP,"ジクロフェナクナトリウム坐剤12.5mg「日医工」 (後発品)
ジクロフェナクナトリウム坐剤25mg「日医工」 (後発品)
ジクロフェナクナトリウム坐剤50mg「日医工」 (後発品)",00063003,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00063003
76,JP,"レキップ錠0.25mg
レキップ錠1mg
レキップ錠2mg",00052311,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00052311
77,JP,"エゼチミブ錠10mg「TCK」 (後発品)",00068658,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068658
78,JP,"カルバマゼピン錠100mg「フジナガ」 (後発品)
カルバマゼピン錠200mg「フジナガ」 (後発品)
カルバマゼピン細粒50％「フジナガ」",00065686,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00065686
79,JP,"ゼオマイン筋注用50単位
ゼオマイン筋注用100単位
ゼオマイン筋注用200単位",00068882,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068882
80,JP,"炭酸水素ナトリウム「ニッコー」",00063114,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00063114
81,JP,"レボフロキサシン錠250mg「タカタ」 (後発品)
レボフロキサシン錠500mg「タカタ」 (後発品)",00063633,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00063633
82,JP,"クロルヘキシジングルコン酸塩消毒液5％「カネイチ」",00069203,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00069203
83,JP,"レベトールカプセル200mg",00048359,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00048359
84,JP,"セクタークリーム3％",00054302,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00054302
85,JP,"モンテルカスト錠5mg「TCK」 (後発品)
モンテルカスト錠10mg「TCK」 (後発品)",00067798,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067798
86,JP,"カバサール錠0.25mg
カバサール錠1.0mg",00045692,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00045692
87,JP,"リセドロン酸Na錠75mg「日医工」 (後発品)",00068229,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068229
88,JP,"ロスバスタチン錠2.5mg「JG」 (後発品)
ロスバスタチン錠5mg「JG」 (後発品)
ロスバスタチンOD錠2.5mg「JG」 (後発品)
ロスバスタチンOD錠5mg「JG」 (後発品)",00070948,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00070948
89,JP,"オキシブチニン塩酸塩錠1mg「トーワ」 (後発品)
オキシブチニン塩酸塩錠2mg「トーワ」 (後発品)
オキシブチニン塩酸塩錠3mg「トーワ」 (後発品)",00062307,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00062307
90,JP,"トレドミン錠12.5mg
トレドミン錠15mg
トレドミン錠25mg
トレドミン錠50mg",00056703,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00056703
91,JP,"イジュド点滴静注25mg
イジュド点滴静注300mg",00070739,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00070739
92,JP,"イマチニブ錠100mg「明治」 (後発品)
イマチニブ錠200mg「明治」 (後発品)",00062900,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00062900
